Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
kill,V,"['0', '2']",kill a motion ,the farmer killed a pig for the holidays ,F
side,N,"['5', '6']",it brought out his better side ,they always sat on the right side of the church ,F
drop,V,"['0', '3']",drop a hint ,shop til you drop ,F
get,V,"['3', '2']",what do you get when you add up these numbers ,let s get down to work now ,F
start,V,"['1', '2']",i start at eight in the morning ,the rain started at 900 ,F
stretch,V,"['2', '0']",i always stretch my muscles before exercising ,stretch your legs ,T
presence,N,"['3', '4']",he sensed the presence of danger ,he tested for the presence of radon ,F
pass,N,"['7', '5']",the plane turned to make a second pass ,the media representatives had special passes ,F
carry,V,"['2', '3']",these bonds carry warrants ,all major networks carried the press conference ,F
cut,V,"['0', '1']",cut the engine ,she cut all of her major titles again ,F
keep,V,"['1', '8']",i keep a small stock of painkillers for emergencies ,there s little to earn and many to keep ,F
call,V,"['0', '1']",call a football game ,bluejays called to one another ,F
make,V,"['2', '2']",she ll make a fine president ,he will make a splendid father ,T
end,N,"['5', '1']",he came to a bad end ,the end of the pier ,F
doctrine,N,"['5', '7']",the incarnation is a basic doctrine of classical christianity ,the four noble truths summarise the main doctrines of buddhism ,T
work,V,"['0', '2']",work the metal ,the salesman works the midwest ,F
hit,V,"['2', '1']",the thermometer hit 100 degrees ,i hit the jackpot ,T
wash,V,"['9', '2']",the car is so dirty  we need to wash it ,can you wash away the spots on the windows ,T
see,V,"['2', '7']",can you see the bird in that tree ,he is blind  he can not see ,T
business,N,"['3', '3']",a small momandpop business ,a racially integrated business concern ,T
one,N,"['4', '4']",he is the best one ,driver  noun  one who drives ,T
receptiveness,N,"['1', '6']",this receptiveness is the key feature in oestral behavior  enabling natural mating to occur ,he was testing the government s receptiveness to reform ,T
whet,V,"['0', '1']",whet my appetite ,to whet one s appetite or one s courage ,T
bear,V,"['0', '3']",bear a resemblance ,the unidentified plant bore gorgeous flowers ,F
draw,V,"['0', '7']",draw pulp from the fruit ,they saw that the night was quickly drawing in  so they pitched their tent ,F
find,V,"['1', '1']",i find him to be obnoxious ,i found the movie rather entertaining ,T
come,V,"['2', '2']",he s come a long way ,the shoes came untied ,F
work,V,"['4', '3']",this dough does not work easily ,the soft metal works well ,T
connection,N,"['3', '4']",there was a connection between eating that pickle and having that nightmare ,my headache has no connection with me going out last night ,F
stuff,N,"['5', '3']",the trunk was full of stuff ,wheat is the stuff they use to make bread ,F
face,N,"['2', '7']",an angry face ,he looked out at a roomful of faces ,F
carry,V,"['2', '4']",i will carry the secret to my grave ,the painting of mary carries motherly love ,F
commercialization,N,"['7', '4']",both companies will retain control over the commercialization of their own products ,my father considered the commercialization of christmas to be a sacrilege ,T
push,V,"['2', '7']",` now push hard   said the doctor to the woman ,the guy hanging around the school is pushing drugs ,F
face,N,"['4', '6']",they climbed the north face of the mountain ,put a big sign on each face of the building that can be seen from the road ,T
formula,N,"['5', '10']",he gave us a general formula for attacking polynomials ,x  \frac b \pm \sqrtb^2  4ac2a is a formula for finding the roots of the quadratic equation ax2  bx  c  0 ,F
end,N,"['3', '1']",she knotted the end of the thread ,the ends justify the means ,F
tell,V,"['2', '1']",can you tell whether those flowers are real or silk  from this distance ,ellen told a story to helen ,F
stand,V,"['0', '1']",stand the test of time ,there stood on the corner a statue ,F
be,V,"['4', '1']",when will the meeting be ,it is almost eight ,T
charge,N,"['5', '4']",he was arrested on a charge of larceny ,the child was a charge of the nanny ,F
raise,V,"['0', '0']",raise a mutiny ,raise a family ,F
see,V,"['3', '3']",how nice to see you again ,i ll probably see you at the meeting ,T
run,N,"['5', '5']",the play had a long run on broadway ,the team enjoyed a brief run of victories ,T
cut,V,"['8', '0']",we had to lose weight  so we cut the sugar from our diet ,cut from one scene to another ,F
break,V,"['0', '1']",break a circuit ,who broke into my account last night ,F
inventory,N,"['1', '3']",an inventory may be necessary to see if anything is missing ,they held an inventory every month ,T
hold,V,"['0', '5']",hold these truths to be selfevident ,about a dozen animals were held inside the stockade ,F
head,N,"['6', '1']",this song keeps going through my head ,the head of the whole operation ,F
authority,N,"['4', '3']",the world s foremost authority on orangutans ,i have the authority to penalise the staff in my department  but not the authority to sack them ,F
cut,V,"['2', '1']",the coach cut two players from the team ,wayne cut ,F
have,V,"['3', '1']",what do we have here ,he had an insulin shock after eating three candy bars ,F
hunger,N,"['0', '3']",hunger for affection ,i have a hunger to win ,T
receive,V,"['0', '3']",receive the incoming radio signals ,the community warmly received the refugees ,F
size,N,"['11', '3']",i do nt think we have the red one in your size ,he wears a size 13 shoe ,T
discover,V,"['10', '1']",the story is false  so far as i can discover ,i discovered the fleece ,T
catch,V,"['0', '1']",catch one s breath ,i caught the hem of my dress in the brambles ,F
send,V,"['1', '7']",to send a message  or a letter ,every day at two oclock  he sends his secretary out to buy him a coffee ,T
normalize,V,"['0', '0']",normalize relations with china ,normalize the temperature ,T
buildup,N,"['2', '1']",a military buildup in preparation for the invasion ,the buildup of leaves blocked the drain pipes ,F
range,N,"['6', '7']",we hiked through the andes mountain range ,the plains lay just beyond the mountain range ,T
vermin,N,"['7', '3']",he examined the child s head for vermin ,bring these gypsy vermin to the palace of justice ,F
work,V,"['4', '5']",she knows how to work the system ,this old radio does nt work anymore ,F
work,V,"['4', '3']",this dough does not work easily ,my wife never worked ,F
have,V,"['1', '1']",i have two years left ,he had an insulin shock after eating three candy bars ,F
hit,V,"['3', '2']",an interesting idea hit her ,the ball hit the fence ,F
check,V,"['2', '8']",i will check up on the car tomorrow ,katie s sick  so i need to check up on her and see if she needs anything ,T
strike,V,"['0', '2']",strike ` z  on the keyboard ,her comments struck a sour note ,T
trend,N,"['1', '2']",the trend of the stock market ,the upward trend of stockmarket prices ,T
libido,N,"['3', '19']",for freudians  libido means the desire to  unite and bind  with objects in the world ,the ego as an organ which seeks to synthesize thoughts in the psyche is said to be driven by libido or eros ,T
break,V,"['8', '6']",my daughter s fancy wedding is going to break me ,this play will either make or break the playwright ,F
metric,N,"['5', '6']",convert all the measurements to metric units ,it is easier to work in metric ,T
stuff,N,"['5', '4']",the trunk was full of stuff ,what is all that stuff on your bedroom floor ,T
pull,V,"['0', '0']",pull the string gently ,pull the rope ,T
know,V,"['3', '1']",she does nt know this composer ,we know this movie ,T
use,V,"['0', '1']",use your head ,i used to get things done ,F
anchorage,N,"['5', '4']",the plant needs a firm anchorage ,the mother provides emotional anchorage for the entire family ,T
run,V,"['0', '0']",run rogue ,run to the store ,F
neighbour,N,"['1', '3']",my neighbour has an annoying cat ,they re our neighbours across the street ,T
block,V,"['0', '2']",block the book cover ,his brother blocked him at every turn ,F
get,V,"['3', '1']",what do you get when you add up these numbers ,i got a computer from my parents for my birthday ,F
way,N,"['4', '2']",if i had my way ,come this way and i ll show you a shortcut ,F
transplant,N,"['4', '6']",he had a kidney transplant ,a child had a multiple organ transplant two months ago ,T
strike,V,"['0', '4']",strike a balance ,the auto workers are striking for higher wages ,F
score,N,"['3', '1']",he studied the score of the sonata ,a score were sent out but only one returned ,F
remain,V,"['12', '1']",there was no food in the house  so i had to remain hungry ,there remains the question of who pulled the trigger ,F
work,V,"['3', '5']",i can not work a miracle ,the stitches of the hem worked loose after she wore the skirt many times ,F
imbalance,N,"['2', '2']",a hormonal imbalance ,the growing imbalances between the rich and poor first lead to more crime ,T
space,N,"['5', '8']",they stopped at an open space in the jungle ,they tested his ability to locate objects in space ,F
tea,N,"['7', '0']",go to the supermarket and buy some tea ,tea has fragrant white flowers ,T
lead,N,"['5', '3']",they did nt follow our lead ,he takes the lead in any group ,T
breath,N,"['6', '2']",he was fighting to his last breath ,not a breath of scandal ever touched her ,F
efface,V,"['0', '0']",efface the memory of the time in the camps ,efface oneself ,F
flatten,V,"['14', '0']",as there was a lot of damage  we chose the heavy roller to flatten the pitch ,flatten your stomach with these exercises ,T
check,V,"['0', '0']",check the brakes ,check whether this page has a watermark ,T
face,N,"['4', '9']",she has a pretty face ,i wish i had seen the look on his face when he got the news ,T
wash,V,"['3', '2']",he managed to wash out the stains ,can you wash away the spots on the windows ,T
top,V,"['10', '3']",i do nt want to be bald  so just top my hair ,the towers were topped with conical roofs ,F
reaction,N,"['4', '2']",there was a chemical reaction of the lime with the ground water ,in this reaction  the acid and base will neutralize each other  producing a salt ,T
cost,N,"['2', '1']",the average cost of a new house is twice as much as t was 20 years ago ,the cost in human life was enormous ,F
ulteriority,N,"['6', '5']",his stories were too susceptible to ulteriority ,their conversation was limited to ulteriorities ,T
conflict,N,"['1', '1']",his conflict of interest made him ineligible for the post ,a conflict of loyalties ,T
reaction,N,"['2', '8']",a bad reaction to the medicine ,the announcement of the verdict brought a violent reaction ,T
match,V,"['4', '2']",his interests did nt match her interests ,let them match their best athletes against ours ,F
throw,V,"['2', '0']",have  throw  or make a party ,throw a shoe ,F
keep,V,"['2', '0']",these potatoes keep for a long time ,keep the commandments ,F
floor,N,"['2', '5']",the whole floor complained about the lack of heat ,the room has a wooden floor ,F
work,N,"['7', '3']",a lot of people are out of work ,he arrived at work early today ,F
block,V,"['0', '0']",block a nerve ,block the wheels of a car ,F
play,V,"['0', '2']",play water from a hose ,the fountains played all day ,T
look,N,"['6', '5']",he went out to have a look ,he gave it a good looking at ,T
appearance,N,"['5', '5']",the rookie made a brief appearance in the first period ,it was bernhardt s last appearance in america ,T
remember,V,"['0', '0']",remember me in your prayers ,remember to call your mother every day ,F
stand,V,"['3', '6']",where do you stand on the war ,christian charity  or love  stands first in the rank of gifts ,T
school,N,"['2', '1']",the whole school turned out for the game ,the school keeps parents informed ,T
make,V,"['1', '1']",to make like a deer caught in the headlights ,they made nice together  as if their fight never happened ,T
energy,N,"['0', '5']",energy can take a wide variety of forms ,europeans often laugh at american energy ,F
work,V,"['5', '5']",start from the bottom and work towards the top ,the stitches of the hem worked loose after she wore the skirt many times ,F
communication,N,"['4', '11']",how many lines of communication can there be among four people ,a round archway at the far end of the hallway provided communication to the main chamber ,T
land,N,"['5', '2']",he built the house on land leased from the city ,an industrialized land ,F
feeling,N,"['3', '5']",she had a feeling of euphoria ,the house gave me a feeling of dread ,T
liver,N,"['20', '5']",you could fry up some chicken livers for a tasty treat   nah  i do nt like chicken liver ,i d like some goose liver pate ,T
fall,V,"['4', '2']",the hills around here fall towards the ocean ,her weight fell to under a hundred pounds ,F
mean,V,"['5', '1']",you never understand what i mean ,happiness means everything ,F
charge,V,"['5', '1']",will you pay cash or charge the purchase ,he charged his weapon at me ,F
be,V,"['2', '5']",i shall be writing to you soon ,i would drive you  were i to obtain a car ,T
action,N,"['2', '2']",a rifle action ,the union action of emancipating southern slaves ,F
interpreter,N,"['5', '11']",his paintings reveal a sensitive interpreter of nature ,programs written in the basic language are usually run through an interpreter  though some can be compiled ,F
line,N,"['4', '4']",there is a narrow line between sanity and insanity ,he got out of line ,F
bed,N,"['6', '1']",slices of hardboiled egg on a bed of spinach ,river bed ,F
identity,N,"['5', '7']",geneticists only recently discovered the identity of the gene that causes it ,it was too dark to determine his identity ,T
head,N,"['1', '3']",the head of the stairs ,she gave great head ,F
vehicle,N,"['4', '5']",a congregation is a vehicle of group identity ,the play was just a vehicle to display her talents ,T
cut,V,"['3', '0']",the football player cut to his left to evade a tackle ,cut a ticket ,F
beer,N,"['2', '0']",i love beer but i know it is bad for you ,beer is brewed all over the world ,T
puncture,V,"['0', '2']",puncture a tire ,the tire punctured ,F
art,N,"['1', '3']",the art of conversation ,how great thou art ,T
play,V,"['4', '2']",this speech did nt play well with the american public ,his remarks played to the suspicions of the committee ,T
coverage,N,"['11', '3']",do nt go to lunch if we do nt have enough coverage for the helpdesk phones ,the dictionary s coverage of standard english is excellent ,T
break,V,"['1', '0']",twigs break off of those branches easily ,break a promise ,F
do,V,"['3', '0']",what makes her do this way ,do my room in blue ,F
check,N,"['6', '2']",he paid all his bills by check ,put a check mark in the box corresponding to the correct answer ,F
board,V,"['4', '4']",it is time to board the aircraft ,the old lady is boarding three men ,F
drive,V,"['0', '2']",drive the forest ,she is driving away at her doctoral thesis ,F
end,N,"['6', '8']",we have given it at the end of the section since it involves the calculus ,the socalled glorious experiment came to an inglorious end ,F
feel,V,"['3', '1']",you make me feel naked ,she felt small and insignificant ,T
take,V,"['2', '1']",i ll take a pound of that sausage ,she took up her position behind the tree ,F
practice,N,"['6', '5']",a hard theory to put into practice ,it is not the local practice to wear shorts to dinner ,F
catch,V,"['0', '2']",catch one s breath ,the fire caught ,F
bear,V,"['3', '1']",i can not bear his constant criticism ,he bore himself with dignity ,F
kill,V,"['1', '2']",cigarettes kill ,drunken driving kills ,T
sow,V,"['2', '3']",as you sow  so shall you reap ,when i had sown the field  the day s work was over ,T
step,N,"['5', '4']",he paused on the bottom step ,he walked with unsteady steps ,F
cut,V,"['0', '0']",cut recording tape ,cut from one scene to another ,F
post,N,"['3', '1']",he occupied a post in the treasury ,parcel post ,T
patch,N,"['6', '3']",the world economy had a rough patch in the 1930s ,does nt that patch of clouds looks like a bunny ,T
end,N,"['5', '1']",he came to a bad end ,one end of the box was marked ` this side up  ,F
fit,N,"['1', '3']",a fit of coughing ,i admired the fit of her coat ,F
keep,V,"['8', '2']",there s little to earn and many to keep ,his snoring kept me from falling asleep ,F
hold,V,"['1', '2']",i hold with those who say life is sacred ,she can hold an audience spellbound ,F
do,V,"['0', '3']",do nothing ,will  100 do ,F
pay,V,"['0', '0']",pay attention to ,pay an obligation ,F
air,N,"['6', '6']",there was a tension in the air which made me suspect an approaching storm ,a smell of chemicals in the air ,T
case,N,"['14', '2']",for english  a compositor will ordinarily have two such cases  the upper case containing the capitals and the lower case containing the small letters ,a typical case was the suburban housewife described by a marriage counselor ,F
draw,V,"['0', '4']",draw a conclusion ,he spent the day drawing in the garden ,F
term,N,"['2', '5']",the general term of an algebraic equation of the nth degree ,he was sentenced to a term of six years in prison ,F
period,N,"['3', '2']",picasso s blue period ,a time period of 30 years ,T
reek,V,"['1', '1']",you reek of perfume ,marshes reeking in the sun ,F
spend,V,"['1', '1']",i spend my pocket money in two days ,i spent the time worrying about the future ,F
rest,N,"['4', '5']",the boulder came to rest just behind the house after rolling down the mountain ,the ocean was finally at rest ,T
pull,V,"['0', '0']",pull the oars ,pull the ball ,F
keep,V,"['0', '0']",keep your cool ,keep your temper ,T
blow,V,"['5', '16']",certain insects are said to blow ,there s nothing more thrilling to the whale watcher than to see a whale surface and blow ,F
reason,N,"['3', '7']",mankind should develop reason above all other virtues ,if you do nt give me a reason to go with you  i wo nt ,F
impression,N,"['5', '3']",the events left a permanent impression in his mind ,he left the impression of his fingers in the soft mud ,F
make,V,"['0', '0']",make a decision ,make advances ,T
lot,N,"['1', '3']",a lot of money ,he bought a lot on the lake ,F
dwelling,N,"['4', '3']",he built a modest dwelling near the pond ,i was doing dwelling in the cave ,T
block,N,"['9', '5']",the store is huge  occupying an entire city block ,he lives in the next block ,T
raise,V,"['6', '0']",we visited a farm where they raise chickens ,raise a family ,T
work,N,"['0', '3']",work equals force times distance ,he arrived at work early today ,F
carry,V,"['2', '1']",these bonds carry warrants ,we carry a very large mortgage ,F
application,N,"['1', '1']",the application of indexes to tables of data ,the application of maximum thrust ,T
number,N,"['1', '5']",a number 13 shoe ,this sweater is an allwool number ,F
work,V,"['3', '5']",the soft metal works well ,start from the bottom and work towards the top ,F
advance,N,"['1', '3']",an advance in health or knowledge ,she rejected his advances ,F
fire,V,"['2', '1']",do nt fire until you see the whites of their eyes ,oil fires the furnace ,F
line,N,"['1', '6']",the line stretched clear around the corner ,you must wait in a long line at the checkout counter ,T
connect,V,"['3', '2']",the two streets connect to become a highway ,my computer connected to his computer ,F
ride,V,"['2', '1']",shorts that ride up ,ship rides at anchor ,F
hit,V,"['1', '1']",he hit her hard in the face ,he hit a home run ,F
head,N,"['1', '7']",a head of lettuce ,i ve got to go to the head ,F
cover,N,"['5', '3']",there s a  15 cover tonight ,they made a cover of a beatles  song ,F
check,V,"['8', '0']",katie s sick  so i need to check up on her and see if she needs anything ,check the brakes ,T
carnival,N,"['11', '2']",we all got to ride the merrygoround when the brought their carnival to town ,when the carnival came to town  every one wanted some cotton candy ,T
break,V,"['0', '1']",break a record ,voices broke in the air ,F
air,N,"['4', '6']",i need some fresh air ,a smell of chemicals in the air ,T
break,V,"['0', '9']",break cigarette smoking ,on the hottest day of the year the refrigerator broke ,F
behalf,N,"['2', '4']",in your behalf ,campaigning in his own behalf ,T
piece,N,"['4', '4']",he designed a new piece of equipment ,she bought a lovely piece of china ,T
process,N,"['16', '3']",this product of last month s quality standards committee is quite good  even though the process was flawed ,events now in process ,T
leave,N,"['3', '4']",she was granted leave to speak ,the applicant now seeks leave to appeal and  if leave be granted  to appeal against these sentences ,T
keep,V,"['9', '0']",the family s fortune waned and they could not keep their household staff ,keep count ,F
tread,V,"['8', '0']",for fools rush in where angels fear to tread ,tread grapes to make wine ,F
year,N,"['2', '5']",in the year 1920 ,i was born in the year 1950 ,T
credit,N,"['9', '3']",he arrived five minutes late  but to his credit he did work an extra ten minutes at the end of his shift ,he was given credit for his work ,T
support,V,"['1', '2']",i support france in the world cup ,the evidence supports the defendant ,F
time,N,"['0', '1']",time stops for nobody ,these times were erroneously converted between zones ,F
time,N,"['4', '7']",when was the last time we went out  i do nt remember ,okay  but this is the last time  no more after that ,T
stopover,N,"['3', '3']",they made a stopover to visit their friends ,there is a stopover to change planes in chicago ,F
break,V,"['2', '2']",let s break for lunch ,a man broken by the terrible experience of neardeath ,F
side,N,"['7', '4']",the patient was bleeding on the right side ,look on the bright side ,F
voice,N,"['5', '1']",the times is not the voice of new york ,the voice of the law ,T
element,N,"['4', '2']",a component or constituent element of a system ,in your element ,F
day,N,"['3', '2']",he deserves his day in court ,in the days of sailing ships ,F
believe,V,"['2', '3']",should we believe a publication like the national enquirer ,you can not believe this man ,T
well,V,"['1', '2']",tears well in her eyes ,the currents well up ,T
time,N,"['7', '3']",okay  but this is the last time  no more after that ,that s three times he s made the same mistake ,T
beat,V,"['0', '1']",beat the egg whites ,agassi beat becker in the tennis championship ,F
life,N,"['5', '9']",he hoped for a new life in australia ,he could no longer cope with the complexities of life ,F
play,V,"['2', '0']",can you play on this old recorder ,play fair ,F
play,V,"['0', '0']",play football ,play with her feelings ,F
use,N,"['4', '5']",he warned against the use of narcotic drugs ,ballet is beautiful but what use is it ,F
break,V,"['0', '2']",break an alibi ,the dam broke ,F
normalize,V,"['0', '9']",normalize relations with china ,there is little hope that the two countries will normalize relations  their governments seem to hate each other and would just as soon stay on bad terms ,T
save,V,"['2', '2']",i ll save you the trouble ,this will save you a lot of time ,T
baby,N,"['6', '3']",the annual report has been my baby since september ,when is your baby due ,F
capture,V,"['0', '1']",capture the essence of spring ,she captured all the men s hearts ,F
collector,N,"['4', '8']",he is an avid collector of nineteenthcentury postage stamps ,that old piano is just a big dust collector ,T
drive,V,"['0', '1']",drive the game ,he drives a bread truck ,F
unit,N,"['2', '4']",change per unit volume ,the centimetre is a unit of length ,T
job,N,"['5', '4']",the barber did a real job on my hair ,dry rot did the job of destroying the barn ,T
fire,V,"['0', '1']",fire a bullet ,surrender fires the cold skepticism ,F
flick,V,"['0', '2']",flick a piece of paper across the table ,the lights flicked on and off ,F
coverage,N,"['3', '3']",the dictionary s coverage of standard english is excellent ,there are overlapping coverages on your insurance policies ,T
session,N,"['2', '2']",a filming session ,a training session ,T
reach,V,"['2', '2']",our advertisements reach millions ,the sunlight reached the wall ,F
pull,N,"['1', '5']",the pull of the current ,iron fillings drawn by the pull of a magnet ,T
go,V,"['4', '6']",how did your interview go ,how fast does your new car go ,F
stay,V,"['1', '2']",to stay a flat sheet in a steam boiler ,the judge stayed the execution order ,F
play,V,"['0', '1']",play water from a hose ,pele played for the brazilian teams in many important matches ,F
beat,V,"['0', '0']",beat the subway fare ,beat the table with his shoe ,F
lead,N,"['9', '3']",we were just waiting for someone to take the lead ,he takes the lead in any group ,T
moon,N,"['5', '5']",men first stepped on the moon in 1969 ,the average distance to the moon is 384400 kilometers ,T
conclusion,N,"['1', '1']",his conclusion took the evidence into account ,in conclusion i want to say ,F
start,V,"['1', '0']",to start a rumour ,start a new job ,F
case,N,"['7', '2']",the teaching consists of theory lessons and case studies ,a window case ,F
detail,N,"['5', '1']",the essay contained too much detail ,a detail was sent to remove the fallen trees ,F
call,N,"['6', '6']",he was ejected for protesting the call ,after two raises there was a call ,F
sense,N,"['1', '1']",a sense of self ,a sense of happiness ,T
make,V,"['6', '1']",you have to spend money to make money ,he made twenty bucks playing poker last night ,T
authority,N,"['3', '3']",he is an authority on corporate law ,i have the authority to penalise the staff in my department  but not the authority to sack them ,F
engagement,N,"['5', '8']",we are enjoying a long engagement  but have nt yet set a date ,the teacher tried to increase his students  engagement in class activities ,F
work,V,"['5', '4']",start from the bottom and work towards the top ,this dough does not work easily ,F
opening,N,"['3', '6']",there is an opening in the sales department ,a salamander darted out of an opening in the rocks ,F
seize,V,"['4', '1']",birds of prey often seize small mammals ,to seize smuggled goods ,F
order,N,"['4', '4']",the house is in order ,magnolias belong to the order magnoliales ,F
fatigue,N,"['1', '13']",political fatigue ,after watching tv with her husband she had a bad case of football fatigue ,T
text,N,"['6', '5']",he wants to reconstruct the original text ,they handed out the printed text of the mayor s speech ,T
cut,V,"['2', '0']",the sweat cut little rivulets into her face ,cut a movie scene ,F
howl,N,"['3', '0']",he gave a howl of pain ,howls of laughter ,T
contraction,N,"['6', '5']",` wo nt  is a contraction of ` will not  ,` oclock  is a contraction of ` of the clock  ,T
pay,V,"['0', '0']",pay a visit ,pay a call ,T
play,V,"['0', '0']",play the stock market ,play with her feelings ,T
play,N,"['3', '4']",they gave full play to the artist s talent ,we saw a twoact play in the theatre ,F
execute,V,"['2', '0']",i ll execute your orders as soon as this meeting is adjourned ,execute the decision of the people ,T
lifesaving,N,"['7', '5']",i m normally a big fan of lifesaving  but in his case we can make an exception ,he took a course in lifesaving ,T
cut,N,"['2', '4']",the unkindest cut of all ,the mayor proposed extensive cuts in the city budget ,F
see,V,"['2', '2']",i can see what will happen ,i can see a risk in this strategy ,T
know,V,"['1', '6']",i know that the president lied to the people ,it is vital that he not know ,T
blaze,V,"['0', '1']",blaze a trail ,meteors blazed across the atmosphere ,F
didacticism,N,"['1', '1']",the didacticism of the 19th century gave birth to many great museums ,the didacticism expected in books for the young ,T
give,V,"['0', '0']",give a yelp ,give a gulp ,T
turn,V,"['0', '3']",turn the earth in the spring ,the cream has turned  we have to throw it out ,F
implication,N,"['4', '9']",he was suspected of implication in several robberies ,the expectation was spread both by word and by implication ,F
shake,V,"['0', '2']",shake one s head ,he was shaken from his dreams ,F
stay,V,"['1', '9']",to stay a flat sheet in a steam boiler ,after the trial period  she was asked to stay on and work fulltime ,F
recognition,N,"['4', '1']",the law was a recognition of their civil rights ,the recognition of the rio grande as a boundary between mexico and the united states ,T
take,V,"['2', '0']",i ll take the blue plates ,take any one of these cards ,T
lift,V,"['2', '0']",you never lift a finger to help me ,lift a load ,T
charge,N,"['5', '2']",he was arrested on a charge of larceny ,the admission charge ,F
play,V,"['0', '1']",play the stock market ,they played games on their opponents ,T
play,V,"['3', '7']",charlie likes to play mary ,the engine has a wheel that is playing in a rack ,F
stress,N,"['11', '3']",he presided over the economy during the period of the greatest stress and danger rjsamuelson ,she endured the stresses and strains of life ,T
memorability,N,"['1', '6']",true memorability of phrase ,continuous change results in lack of memorability ,T
convention,N,"['1', '5']",political convention ,the eu installed an interinstitutional convention to draft a european constitution ,T
window,N,"['3', '1']",they had a window of less than an hour when an attack would have succeeded ,launch window ,T
night,N,"['5', '4']",how do you sleep at night when you attack your kids like that  ,it vanished into the night ,F
series,N,"['2', '6']",a comedy series ,his coin collection included the complete series of indianhead pennies ,F
come,V,"['3', '1']",she could not come because she was too upset ,he came after a few minutes ,T
replace,V,"['3', '1']",we need to replace the secretary that left a month ago ,mary replaced susan as the team s captain and the highestranked player in the school ,F
break,V,"['7', '2']",is it your or my turn to break ,things began breaking bad for him when his parents died ,F
travel,N,"['7', '0']",he enjoyed selling but he hated the travel ,travel to spain ,T
cut,V,"['0', '2']",cut a hole ,the sweat cut little rivulets into her face ,T
hang,V,"['0', '0']",hang a door ,hang the venison for a few days ,F
leave,N,"['3', '3']",she was granted leave to speak ,he took his leave ,F
bear,V,"['0', '0']",bear a resemblance ,bear a signature ,T
degree,N,"['3', '3']",he earned his degree at princeton summa cum laude ,there are 360 degrees in a circle ,F
connection,N,"['1', '3']",the connection between overeating and obesity ,there was a connection between eating that pickle and having that nightmare ,F
militate,V,"['1', '1']",to militate against the possibility of his election ,politeness militated against this opinion being expressed ,T
language,N,"['1', '3']",the language introduced is standard throughout the text ,he taught foreign languages ,T
wildness,N,"['7', '3']",liza had always had a tendency to wildness ,the element of wildness in his behavior was a protest against repressive convention ,T
escape,N,"['5', '4']",they tried to stop the escape of gas from the damaged pipe ,the prisoners made their escape by digging a tunnel ,F
academy,N,"['1', '0']",the academy of music ,academies of literature and philology ,F
know,V,"['1', '1']",i know latin ,adam knew eve ,F
lady,N,"['1', '11']",a lady doctor ,a chauffeur opened the door of the limousine for the grand lady ,T
night,N,"['3', '5']",from noon till night ,they worked from morning to night ,T
carry,V,"['7', '2']",he had drunk more than he could carry ,the troops carried the town after a brief fight ,F
suck,V,"['0', '1']",suck the poison from the place where the snake bit ,this sucks ,F
book,N,"['3', '5']",he bought a book of stamps ,they run things by the book around here ,F
couple,V,"['4', '2']",now the conductor will couple the train cars ,i ve coupled our system to theirs ,T
back,V,"['1', '0']",i back you all the way ,back this enterprise ,T
vegetate,V,"['8', '2']",after a hard day s work  i vegetate in front of the television ,the fields vegetate vigorously ,F
hit,V,"['2', '3']",one boy hit the other ,i have to hit the mac machine before the weekend starts ,F
run,V,"['2', '3']",do nt run that software unless you have permission   ,the dogs are running deer ,F
run,V,"['0', '4']",run an errand ,who are these people running around in the building ,F
block,N,"['9', '4']",the store is huge  occupying an entire city block ,he reserved a large block of seats ,F
play,V,"['0', '1']",play with her feelings ,she plays on her clients  emotions ,F
know,V,"['1', '1']",i know it s time ,he knows about 19th century politics ,T
define,V,"['1', '0']",i define myself as a technoanarchist ,define ` sadness  ,F
understand,V,"['1', '1']",i understand wanting more ,i understand how to do it ,T
gravitation,N,"['0', '0']",gravitation can not be held responsible for people falling in love  albert einstein ,gravitation r svagare n elektromagnetismen  men pverkar all materia och energi ,T
carry,V,"['2', '1']",these bonds carry warrants ,sound carries well over water ,F
pay,V,"['0', '2']",pay a call ,you ll pay for this ,F
run,V,"['6', '2']",my computer is too old to run the new os ,i will run the sample ,T
snap,V,"['1', '2']",to snap a whip ,the pipe snapped ,F
work,V,"['0', '4']",work the raisins into the dough ,do you want to work after the age of 60 ,F
arousal,N,"['3', '6']",the mechanism for arousal from sleep ,the animal undergoes regular spells of arousal ,T
space,N,"['8', '1']",they tested his ability to locate objects in space ,the spaces are the notes face ,F
operation,N,"['2', '3']",a multinational operation ,a largescale farming operation ,T
make,V,"['2', '2']",we should make cincinnati by 7 tonight ,we barely made it to the finish line ,T
check,N,"['6', '10']",he paid all his bills by check ,i was not carrying cash  so i wrote a check for the amount ,T
appointment,N,"['11', '3']",i m leaving work early because i have a doctor s appointment ,they made an appointment to meet at six ,T
floor,N,"['5', '5']",the fire spared the forest floor ,the room has a wooden floor ,F
lap,N,"['1', '3']",the lap of the shingles should be at least ten inches ,the dog s laps were warm and wet ,F
give,V,"['0', '4']",give the orders ,i m going to give my wife a necklace for her birthday ,F
grow,V,"['4', '3']",her hair does nt grow much anymore ,corn does nt grow here ,T
beat,V,"['0', '2']",beat one s breast ,this sure beats work ,F
company,N,"['2', '3']",a hookandladder company ,it took six companies to put out the fire ,T
draw,V,"['0', '0']",draw a weapon ,draw a wagon ,F
